Endstate,Frequency,Energy,Hamming
87.0,322752,-6.794726117684167,21
139351.0,198834,-7.340306287976649,19
1114114.0,10,0.16174691166334298,15
1114182.0,1,-1.721209435306657,17
1114183.0,6,-3.986913614927806,18
1114199.0,411191,-6.974571985384152,19
1146882.0,74209,-1.2358589293777138,14
1253463.0,198071,-8.607136768468502,17
1548290.0,29686,-5.61470334227891,11
1674183.0,13816,-12.762082328249011,12
3613783.0,63317,-14.285036565144662,14
4191598.0,611900,-33.730645407946426,5
4194218.0,2270510,-54.213454352084554,0
